full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
edmund-io/edmunds-claude-code,1406,1406,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3676,3676,258,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
snarktank/ralph,17538,17538,1744,23,23,4,https://github.com/snarktank/ralph
anthropics/claude-plugins-official,17470,17470,2066,25,25,2,https://github.com/anthropics/claude-plugins-official
eyaltoledano/claude-task-master,26621,26621,2485,11,11,1,https://github.com/eyaltoledano/claude-task-master
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3423,3423,661,9,9,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,491,491,392,1,1,0,https://github.com/AICoderTudou/claude-code-tudou
lowcortisolprogrammer/claude-code,172,172,163,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
carlvellotti/claude-code-pm-course,1891,1891,294,3,3,0,https://github.com/carlvellotti/claude-code-pm-course
wshobson/agents,34010,34010,3686,25,25,4,https://github.com/wshobson/agents
alirezarezvani/claude-skills,12152,12152,1597,41,41,6,https://github.com/alirezarezvani/claude-skills
ghuntley/claude-code-source-code-deobfuscation,973,973,556,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
slopus/happy,18873,18873,1542,28,28,1,https://github.com/slopus/happy
andrew-kramer-inno/claude-code-source-build,575,575,510,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
luongnv89/claude-howto,27963,27963,3414,49,49,5,https://github.com/luongnv89/claude-howto
feiskyer/claude-code-settings,1449,1449,217,0,0,0,https://github.com/feiskyer/claude-code-settings
farion1231/cc-switch,48309,48309,3089,244,244,15,https://github.com/farion1231/cc-switch
sugyan/claude-code-webui,1036,1036,239,0,0,0,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,208,208,455,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
Windy3f3f3f3f/claude-code-from-scratch,972,972,331,6,6,2,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
NanmiCoder/cc-haha,7698,7698,6936,95,95,29,https://github.com/NanmiCoder/cc-haha
garrytan/gstack,79113,79113,11378,207,207,33,https://github.com/garrytan/gstack
